ISBN( format avec tiret ! ),Titre,Mot-clés ( séparé par virgules ),Editeur ( nom),Collection,Date Parution(écrire JJ-MM-AAAA),Numero Collection,Edition,Auteur ( nom-prenom ),Prix ( sans symbole  ),Résumé,Note Gérant,Support,Avis,Nom Image
978-2-917437-63-6,Le bonheur s'amenuise,"nouvelle, peinture",Éditions du Chameau,,20-06-2015,,,Lange$Gérard,17,,,,,
978-2-917437-60-5,Slams,"poésie, slam",Éditions du Chameau,,10-04-2015,,,Decidela$collectif,10,,,,,
978-2-917437-55-1,L'Aube déjà,"peinture, poésie",Éditions du Chameau,,25-12-2015,,,Thouroude$Simonne,18,,,,,
978-2-917437-52-0,ces cris gravés,"photographie, dessin,texte",Éditions du Chameau,,10-12-2015,,,"Guégan$Yvonne, Jeanne-Valès$Tristan, Lambert-wild$Jean, Vaneigem$Raoul, Louis-Combet$Claude",24,,,,,
978-2-917437-51-3,"Nos îles, perdues jusqu'à demain","texte, peinture",Éditions du Chameau,,07-10-2015,,,"Campos-Manuelle, Dalnoky-Cécile",15,,,,,
978-2-917437-50-6,rue de la lisière,"photographie, témoignage",Éditions du Chameau,,04-10-2015,,,Rioult-Axelle,15,,,,,
978-2-917437-54-4,Variations sur la nature des choses,"peinture, sérigraphie, poésie",Éditions du Chameau,,,,,"Louvel-Bernard, Luminet-Jean-Pierre",70,,,,,
978-2-917437-49-0,Henri Kegler,"témoignage, histoire",Éditions du Chameau,,02-06-2014,,,Montaclair-Bernard,17,,,,,
978-2-917437-53-7,"Caen-Tokyo, un pont d'encre","peinture, encre, papier, sumie",Éditions du Chameau,,02-06-2014,,,Arai-Keiko Darius Katayama-Haruko Tibouchi-Hamid Yokoyama-Chikako,20,,,,,
978-2-917437-45-2,La goutte et la graine,"dessin, société",Éditions du Chameau,,18-12-2013,,,Dalnoky-Cécile,15,,,,,
978-2-917437-47-6,Le décritoire fou,"nouvelle, gravure",Éditions du Chameau,,06-12-2013,,,Tanguy-Annick Fresnel-Michel,15,,,,,
978-2-917437-46-9,Deux dates sur une pierre,poésie,Éditions du Chameau,,27-07-2013,,,Hersent-Josette,15,,,,,
978-2-917437-18-6,Louise Lemassu,"photographie, corresppondance,témoignage, histoire",Éditions du Chameau,,12-06-2013,,,Pleintel-Marie-Danièle,15,,,,,
978-2-917437-44-5,Nuits fumeuses,"peinture, encre, poésie",Éditions du Chameau,Pentimento,12-06-2013,,,Darius Tibouchi-Hamid,20,,,,,
978-2-917437-34-6,T'as pas fini d'aimer l'automne,"dessin, poésie, slam",Éditions du Chameau,,25-03-2013,,,Pin-Hélène Veron-Marie-Laure,15,,,,,
978-2-917437-35-3,No game last night,"photographie, jeu en réseaux, société",Éditions du Chameau,,14-01-2013,,,Bourdon-Pauline,15,,,,,
978-2-917437-41-4,Le disparu des maisons Satie,"nouvelle, dessin",Éditions du Chameau,,25-03-2013,,,Pleintel-Emmanuel,15,,,,,
978-2-917437-43-8,DA CAPO IN FINE,graphisme littéraire,Éditions du Chameau,,30-12-2012,,,Labbate-Ettore,10,,,,,
978-2-917437-42-1,"Paris à l'envers, Paris upside down","photographie, poésie",Éditions du Chameau,,14-11-2012,,,P.Ryan-Frances,17,,,,,
978-2-917437-40-7,La cessation,"poésie, prose",Éditions du Chameau,,26-10-2012,,,Labrusse-Hugues,15,,,,,
978-2-917437-36-0,Le branle du roi Renaud,"sculpture, céramique,texte, photographie",Éditions du Chameau,,,,,LeRétif-Elisabeth Macé-Patrick,18,,,,,
978-2-917437-38-4,Géographie d'un multivers,"arts plastique, encyclopédie",Éditions du Chameau,,17-07-2012,,,Péchoux-Hervé,35,,,,,
978-2-917437-39-1,Marais en Cotentin,"photographie, poésie",Éditions du Chameau,,05-07-2012,,,Bordier-Jean-Christophe Lemoine-Marie,18,,,,,
,Poèmes – nouvelles – Photographies,"poésie, nouvelle, photographie",Éditions du Chameau,,,,,Meynard-Daniel Louvel-Bernard,80,,,,,
978-2-917437-37-7,Nebula obscura,"photographie, sérigraphie, nouvelle",Éditions du Chameau,,25-04-2012,,,Louvel-Bernard collectif,22,,,,,
978-2-917437-33-9,"Ce jour en 7 lieux, la fragrance du souvenir le retint","photographie, nouvelle",Éditions du Chameau,,26-03-2012,,,Lange-Gérard Rifffaud-Olivier,7,,,,,
978-2-917437-29-2,Photographies,photographies,Éditions du Chameau,,04-12-2011,,,Vacher-Marguerite,22,,,,,
978-2-917437-30-8,L'opération du Saint-Esprit,"gravure, nouvelle",Éditions du Chameau,,04-10-2011,,,Tanguy-Annick Fresnel-Michel,15,,,,,
978-2-917437-31-5,Lifelike,"photographie, théâtre, poésie",Éditions du Chameau,,30-06-2011,,,Labbate-Ettore Flotté-Baptiste,15,,,,,
978-2-917437-27-8,Lost again,"bande dessinée, dessin",Éditions du Chameau,,23-06-2011,,,Bailey-William,15,,,,,
978-2-917437-32-2,"La poésie de la pierre, Stonespeak","photographie, poésie",Éditions du Chameau,,23-08-2011,,,P.Ryan-Frances Tengbergen-Daphne Ni-Riordain-Cliona,17,,,,,
978-2-917437-25-4,Pièces jointes,"collage, découpage, poésie",Éditions du Chameau,,23-08-2011,,,Lanot-Frank LeQuellec-Maryvonne,12,,,,,
978-2-917437-24-7,Inventaire du pré vert,"collage, découpage, poésie",Éditions du Chameau,,29-04-2011,,,Mothe-Philippe LeQuellec-Maryvonne,17,,,,,
978-2-917437-26-1,Bal(l)ade de qui ne vaut pas la corde,"dessin, nouvelle, société",Éditions du Chameau,,24-04-2011,,,Mauger-Serge Lepetit-Jean-Yves Pérus-Antoine,15,,,,,
978-2-917437-19-3,des histoires possibles,dessin,Éditions du Chameau,,22-02-2011,,,Altrieth-Ralf,38,,,,,
978-2-917437-21-6,Nos Arts 2009,"dessin, arts plastiques, peinture",Éditions du Chameau,,19-04-2011,,,Fava-Dino Fresnel-Michel,10,,,,,
978-2-917437-22-3,Nos Arts – Gravures 1961 – 2008,"dessin, gravure",Éditions du Chameau,,09-01-2011,,,Fresnel-Michel,10,,,,,
978-2-917437-23-0,Le crocodile n'a pas d'cédille,"dessin, poésie",Éditions du Chameau,,09-01-2011,,,Arnaud-François,22,,,,,
978-2-917437-20-9,Géographie,"photographie, poésie",Éditions du Chameau,,29-09-2010,,,Labbate-Ettore,15,,,,,
978-2-917437-17-9,Au petit bazar,"dessin, société",Éditions du Chameau,,29-09-2010,,,Valtat-Michel,28,,,,,
978-2-917437-15-5,Le roman d'Arthur,"nouvelle, dessin, peinture, collage, histoire",Éditions du Chameau,,29-08-2010,,,Collectif-Wace,15,,,,,
978-2-917437-16-2,A vif,"nouvelle, photographie, sérigraphie",Éditions du Chameau,,07-04-2010,,,Meynard-Daniel Louvel-Bernard,50,,,,,
978-2-917437-13-1,Histoire de parler d'ailes,"photographie, assemblage, poésie",Éditions du Chameau,,09-03-2010,,,Cousin-Alain Bourdon-Pauline Lange-Gérard,15,,,,,
978-2-917437-09-4,Maleine as-tu tes règles ?,"céramique, photographie, nouvelle",Éditions du Chameau,,06-12-2009,,,LeRétif-Elisabeth Macé-Patrick,7,,,,,
978-2-917437-12-4,"Nos Arts, petit journal relié, novembre 2007 à décembre 2008","dessin, arts plastiques, peinture",Éditions du Chameau,,06-12-2010,,,Fava-Dino Fresnel-Michel,10,,,,,
978-2-917437-11-7,Vous allez en Albanie ?,"peinture, nouvelle",Éditions du Chameau,,27-09-2009,,,Lange-Gérard Rifffaud-Olivier Louvel-Bernard,20,,,,,
978-2-917437-08-7,Félis,"gravure, nouvelle",Éditions du Chameau,,21-09-2009,,,Tanguy-Annick Fresnel-Michel,15,,,,,
2-9518706-8-X,traits pour traits,"collage, découpage, poésie",Éditions du Chameau,,11-05-2009,,,Lanot-Frank LeQuellec-Maryvonne,12,,,,,
978-2-917437-04-9,Journal pour un fou de couleurs,"témoignage, sérigraphie",Éditions du Chameau,,22-04-2009,,,Leredde-Véronique,12,,,,,
978-2-917437-10-0,"Le mystère de la boîte à visages, romanphotonoir","photographie, nouvelle, sérigraphie",Éditions du Chameau,,22-04-2009,,,Louvel-Bernard Lambert-Alain,30,,,,,
978-2-917437-06-3,Blaise ou la symphonie inachevée,poésie,Éditions du Chameau,,30-01-2009,,,Hersent-Josette,12,,,,,
978-2-917437-02-5,La casse Karl Marx – tome 1,"nouvelle, dessin",Éditions du Chameau,,20-05-2008,,,Baum-Clara,15,,,,,
978-2-917437-07-0,La casse Karl Marx – tome 2,"nouvelle, dessin",Éditions du Chameau,,24-11-2008,,,Baum-Clara,15,,,,,
978-2-917437-01-8,"Premiers pas, carnet de route","récit, dessin, société",Éditions du Chameau,,20-10-2008,,,Jonckeau-Thomas,10,,,,,
978-2-917437-03-2,ABCDER en fatragramme et fatrabble,"jeu de mots, sérigraphie, langage",Éditions du Chameau,,20-05-2008,,,Louvel-Bernard Lambert-Alain,25,,,,,
2-9518706-9-8,La pudeur du ciel,"photographie, texte chanson",Éditions du Chameau,,06-04-2008,,,Lemonnier-François Lomaszewicz-Virginie Marsilly-Karine Umhauer-Olivier,18,,,,,
2-9518706-7-1,"Le feu, les mains","photographie, poésie, céramique",Éditions du Chameau,,19-01-2008,,,Jeanne-Valès-Tristan Pernel-Patrick Canteins-Jean,35,,,,,
2-9518707-9-5,Carnet d'esquisses,"dessin, nouvelle",Éditions du Chameau,,12-02-2007,,,Darius Dramani-Issifou-Zakari Frongia-Anna Leredde-Véronique Lange-Gérard Mauger-Serge Fava-Dino,25,,,,,
2-9518706-6-3,riens du tout,poésie,Éditions du Chameau,,08-04-2007,,,Montaclair-Brigitte,10,,,,,
2-9518706-3-9,Je m'étais endormi à l'ombre,"dessin, caligraphie, poésie",Éditions du Chameau,,04-09-2007,,,Chajri-Driss,25,,,,,
2-9518706-5-5,Matière(s),"photographie, sérigraphie, philosophie",Éditions du Chameau,,,,,Louvel-Bernard Lambert-Alain,44,,,,,
2-9518706-2-0,Quel petit tableau à demi caché au fond de la terre ?,"peinture, nouvelle",Éditions du Chameau,,12-04-2007,,,Dron-Jean-Luc Lange-Gérard Bourguet-Chantal Riffaud-Olivier Louvel-Bernard,12,,,,,
2-9518706-1-2,Un bateau – petite histoire silencieuse,"dessin, poésie, sérigraphie",Éditions du Chameau,,18-05-2007,,,Dalnoky-Cécile,20,,,,,
2-9518706-4-7,Sardaigne au cœur,"dessin, peinture, poésie",Éditions du Chameau,,18-05-2006,,,Frongia-Anna Lachèvre-Frongia-Fabienne,7,,,,,
2-9518706-0-4,"Scènes d'automne, théâtres japonais","photographie, sérigraphie, poésie",Éditions du Chameau,,13-05-2006,,,Leredde-Véronique Louvel-Bernard,150,,,,,
2-9518707-7-9,Amant de la muse plastique,"photographie, sérigraphie, poésie",Éditions du Chameau,,13-05-2005,,,Louvel-Bernard,15,,,,,
2-9518707-8-7,Arthur et la métaphysique,nouvelle,Éditions du Chameau,,13-05-2005,,,Vacher-Marguerite,10,,,,,
2-9518707-5-2,Coffret Plum'Art N°1,"arts plastique, poésie, nouvelle",Éditions du Chameau,Plum'Art,04-07-2005,,,collectif,30,,,,,
2-9518707-3-6,Vacances au Mali,"photographie, récit, société",Éditions du Chameau,,03-03-2004,,,Yautier-Catherine Yautier Henri-Claude Bourdon-Eric Bourdon-Myriam,12,,,,,
2-9518707-2-8,Co-errances,"photographie, nouvelle",Éditions du Chameau,,05-05-2004,,,Louvel-Bernard collectif,30,,,,,
2-9518707-4-4,Eloge de l'épaisseur,"photographie, essai",Éditions du Chameau,,05-05-2004,,,Boudon-Pauline,8,,,,,
2-9518707-1-X,Hommage à la voix des femmes,"poésie, photographie",Éditions du Chameau,,17-01-2004,,,Khellad-Nadjia Piantino-Véronique Lefèvre-Blandine LeRétif Elisabeth,10,,,,,
2-9518707-0-1,La peinture c'est la peinture,"aphorisme, peinture",Éditions du Chameau,,08-07-2002,,,Lebigre-Pierre,10,,,,,
